id,pedido_id,item_numero,descripcion,cantidad,peso_total,espesor,material,unidad_cobro,precio_unitario,total_linea,origen_precio,detalles
1676,271,1,Transformación,1.0,,0.5,Galvanizado,kg,160.0,,Lista: Transformación (Galv),
1677,271,2,Unión c/ Lona,1.0,,0.5,Galvanizado,un,2340.0,2340.0,Lista: Unión c/ Lona (Pieza Esp.),
1678,271,3,Codo,1.0,3.292397296844737,0.5,Galvanizado,kg,160.0,526.783567495158,Lista: Codo (Galv),
1679,271,4,Ducto Recto,1.0,5.03064,0.5,Galvanizado,kg,160.0,804.9024,Lista: Ducto Recto (Galv),
1680,271,5,Ducto Recto,1.0,1.67688,0.5,Galvanizado,kg,160.0,268.3008,Lista: Ducto Recto (Galv),
1681,271,6,Transf. Red - Cuad,1.0,1.4363190651437245,0.5,Galvanizado,un,3524.0,3524.0,Lista: Transf. Red - Cuad (Pieza Esp.),
1682,271,7,Ducto Recto,1.0,4.21464,0.5,Galvanizado,kg,160.0,674.3424,Lista: Ducto Recto (Galv),
1683,271,8,Ducto Recto,1.0,2.6444799999999997,0.5,Galvanizado,kg,160.0,423.11679999999996,Lista: Ducto Recto (Galv),
1684,271,9,Codo,1.0,2.1934752581127315,0.5,Galvanizado,kg,160.0,350.956041298037,Lista: Codo (Galv),
1685,271,10,Transf. Red - Cuad,1.0,1.286415065143724,0.5,Galvanizado,un,3524.0,3524.0,Lista: Transf. Red - Cuad (Pieza Esp.),
1686,271,11,Ducto Recto,3.0,12.643920000000001,0.5,Galvanizado,kg,160.0,2023.0272000000002,Lista: Ducto Recto (Galv),
1687,271,12,Ducto Recto,1.0,1.61148,0.5,Galvanizado,kg,160.0,257.8368,Lista: Ducto Recto (Galv),
1688,271,13,Codo,1.0,2.1934752581127315,0.5,Galvanizado,kg,160.0,350.956041298037,Lista: Codo (Galv),
1689,271,14,Ducto c/ Templador,1.0,1.5722399999999999,0.5,Galvanizado,un,840.0,840.0,Lista: Ducto c/ Templador (Pieza Esp.),
1690,272,1,Caja Difusora Esp.,10.0,11.62820796003321,0.5,Galvanizado,un,960.0,9600.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1691,272,2,Caja Difusora Esp.,4.0,2.0218722190984115,0.5,Galvanizado,un,960.0,3840.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1692,272,3,Caja Difusora Esp.,2.0,0.8045361095492058,0.5,Galvanizado,un,960.0,1920.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1693,272,4,Caja Difusora Esp.,5.0,4.116642035114683,0.5,Galvanizado,un,960.0,4800.0,Lista: Caja Difusora Esp. (Pieza Esp.),
1701,276,1,Codo,1.0,3.0347855999999998,0.5,Galvanizado,kg,160.0,485.56569599999995,Lista: Codo (Galv),Dim: A:40cm B:20cm R:10cm | Ang: 90° | Unión: Balleta / TDF | Simetría: Asimétrica
